facility__i_d,measure__i_d,value,footnote,start__date,end__date
30121,MSPB-1,0.944238,,01/01/2022,12/31/2022
30122,MSPB-1,1.006595,,01/01/2022,12/31/2022
30123,MSPB-1,0.9378,,01/01/2022,12/31/2022
30130,MSPB-1,0.907895,,01/01/2022,12/31/2022
30131,MSPB-1,0.868655,,01/01/2022,12/31/2022
30134,MSPB-1,0.75519,,01/01/2022,12/31/2022
30136,MSPB-1,0.925406,,01/01/2022,12/31/2022
30138,MSPB-1,1.140883,,01/01/2022,12/31/2022
30139,MSPB-1,0.913095,,01/01/2022,12/31/2022
30146,MSPB-1,0.923677,,01/01/2022,12/31/2022
30147,MSPB-1,0.942918,,01/01/2022,12/31/2022
30148,MSPB-1,0.958621,,01/01/2022,12/31/2022
40001,MSPB-1,1.026266,,01/01/2022,12/31/2022
40002,MSPB-1,0.946476,,01/01/2022,12/31/2022
40004,MSPB-1,1.004018,,01/01/2022,12/31/2022
40007,MSPB-1,1.019025,,01/01/2022,12/31/2022
40010,MSPB-1,1.006789,,01/01/2022,12/31/2022
40011,MSPB-1,0.873587,,01/01/2022,12/31/2022
40014,MSPB-1,1.023204,,01/01/2022,12/31/2022
40015,MSPB-1,1.158764,,01/01/2022,12/31/2022
40016,MSPB-1,0.998388,,01/01/2022,12/31/2022
40017,MSPB-1,1.03486,,01/01/2022,12/31/2022
40018,MSPB-1,,1.0,01/01/2022,12/31/2022
40019,MSPB-1,0.931365,,01/01/2022,12/31/2022
40020,MSPB-1,1.108967,,01/01/2022,12/31/2022
40022,MSPB-1,1.082576,,01/01/2022,12/31/2022
40026,MSPB-1,1.094202,,01/01/2022,12/31/2022
40027,MSPB-1,0.994706,,01/01/2022,12/31/2022
40029,MSPB-1,1.025521,,01/01/2022,12/31/2022
40036,MSPB-1,1.038297,,01/01/2022,12/31/2022
40039,MSPB-1,1.062942,,01/01/2022,12/31/2022
40041,MSPB-1,0.961107,,01/01/2022,12/31/2022
40047,MSPB-1,1.057121,,01/01/2022,12/31/2022
40050,MSPB-1,0.998085,,01/01/2022,12/31/2022
40051,MSPB-1,0.925009,,01/01/2022,12/31/2022
40055,MSPB-1,1.0706,,01/01/2022,12/31/2022
40062,MSPB-1,1.084187,,01/01/2022,12/31/2022
40067,MSPB-1,1.174279,,01/01/2022,12/31/2022
40069,MSPB-1,0.979281,,01/01/2022,12/31/2022
40071,MSPB-1,1.097179,,01/01/2022,12/31/2022
40072,MSPB-1,1.029392,,01/01/2022,12/31/2022
40076,MSPB-1,0.996344,,01/01/2022,12/31/2022
40078,MSPB-1,1.105182,,01/01/2022,12/31/2022
40084,MSPB-1,1.035182,,01/01/2022,12/31/2022
40085,MSPB-1,0.893879,,01/01/2022,12/31/2022
40088,MSPB-1,1.100311,,01/01/2022,12/31/2022
40114,MSPB-1,1.0811,,01/01/2022,12/31/2022
40118,MSPB-1,1.009656,,01/01/2022,12/31/2022
40119,MSPB-1,1.039983,,01/01/2022,12/31/2022
40134,MSPB-1,0.958687,,01/01/2022,12/31/2022
40137,MSPB-1,1.074415,,01/01/2022,12/31/2022
40147,MSPB-1,0.887577,,01/01/2022,12/31/2022
40153,MSPB-1,1.004223,,01/01/2022,12/31/2022
40154,MSPB-1,0.973322,,01/01/2022,12/31/2022
40156,MSPB-1,0.940663,,01/01/2022,12/31/2022
40161,MSPB-1,0.960889,,01/01/2022,12/31/2022
